description,query
Identifies events in tenant D0034 where the Symantec Endpoint Security Protection process is involved and there is activity directed at the domain dxpool.com from any source domain.,"tenantname:D0034 AND pname:""Symantec Endpoint Security Protection"" AND blsrc_trgdomain:* ANFD trgdomain:dxpool.com"
Identify events originating in Hong Kong or China that are associated with tenant D0034.,(srccountry:HKG OR srccountry:CHN) AND tenantname:D0034
It filters for DefensePro Anti-DDoS events for tenant D0034 and excludes events originating from three specific source IP addresses.,"tenantname:D0034 AND pname:""Radware DefensePro Anti-DDoS Protection"" AND NOT srcip:89.248.163.68 AND NOT srcip:0.0.0.0 AND NOT srcip:79.124.62.230"
It finds logs for tenant D0034 from source IP 10.168.168.103 going to any destination domain.,tenantname:D0034 AND srcip:10.168.168.103 AND trgdomain:*
"It flags security events in tenant M0001 related to Microsoft Active Directory and Windows that show SQL injection–style payloads (like UNION SELECT, DROP TABLE, or tautologies) at severity level 4.","tenantname:M0001 AND pname:""Microsoft Active Directory and Windows"" AND (UNION SELECT|DROP TABLE|OR 1=1|AND 1=1|;--) AND sev:4"
"Identify failed login attempts by the user sladmin, from Windows/Active Directory (event 4625) or from vSphere vCenter (login failure).","((pname:""Microsoft Active Directory and Windows"" AND vec:4625) OR (pname:""vSphere vCenter"" AND evt:""Cannot login"")) AND srcuname:sladmin"
Identify events in tenant D0034 where Radware DefensePro Anti-DDoS Protection was applied and completed successfully from source IP 120.152.99.122.,"tenantname:D0034 AND pname:""Radware DefensePro Anti-DDoS Protection"" AND taxoutpro:success AND srcip:120.152.99.122"
It filters for security events that originated in Hong Kong and have a severity level of 4.,srccountry:HKG AND sev:4
Finds logs for tenant D0034 from a Palo Alto Next-Generation Firewall where the source IP is 192.168.47.111 and there is a non-empty source username.,"tenantname:D0034 AND pname:""Palo Alto Next\\-Generation Firewall"" AND srcip:192.168.47.111 AND srcuname:*"
Find SIEM-related security events that involve the user raymondlau.,taxevtst:siem AND srcuname:raymondlau
"Looks for suspicious domain lookup events in tenant M0001 that were parsed by MAGI, focusing on events labeled Suspicious Domain Query, and excludes queries directed at common legitimate domains like Bing and Google.","tenantname:M0001 AND parsertype:MAGI AND evt:""Suspicious Domain Query""  AND NOT trgdomain:www.bing.com AND NOT trgdomain:google.com  AND NOT trgdomain:ajax.googleapis.com AND NOT trgdomain:storage.googleapis.com"
"Finds logs for tenant M0001 where the product is VMware ESXi and the event type starts with sdrsinjector, i.e., potential injector-related activity.","tenantname:M0001 AND pname:""VMWare ESXi"" AND evt:sdrsinjector*"
"Identifies outbound firewall connections for tenant D0034 to target domains that have a risk score between 50 and 300, routed through a successful outbound proxy, while excluding common Google and cloud storage domains.","tenantname:D0034 AND pname:""Palo Alto Next\\-Generation Firewall"" AND blsrc_trgdomain:* AND blscore_trgdomain:[50 TO 300] AND taxoutpro:success AND NOT trgdomain:google.com AND NOT trgdomain:googletagmanager.com AND NOT trgdomain:s3.amazonaws.com AND NOT trgdomain:storage.googleapis.com AND NOT trgdomain:ajax.googleapis.com"
"Identify instances where tenant D0034’s Palo Alto firewall shows a successful outbound connection to mc.yandex.ru, with the target-domain threat score between 100 and 300, while excluding sinkhole domains and the page.dingtalk.com domain.","tenantname:D0034 AND pname:""Palo Alto Next\\-Generation Firewall"" AND blsrc_trgdomain:* AND blscore_trgdomain:[100 TO 300] AND taxoutpro:success AND NOT trgdomain:page.dingtalk.com AND NOT trgdomain:sinkhole* AND trgdomain:mc.yandex.ru"
"It looks for successful logon events in tenant M0001, excluding computer accounts (names ending with $) and a set of privileged/admin accounts (sladmin, svradmin, ldapread, shgappsadmin).",tenantname:M0001 AND vec:4624 AND NOT trguname:*$  AND NOT trguname:sladmin AND NOT trguname:svradmin AND NOT trguname:ldapread AND NOT trguname:shgappsadmin
"Identify high-severity security events for tenant D0034 that are not related to common benign issues (like HTTP error methods, standard policy blocks, or routine anomaly alerts), so you can surface genuinely meaningful security incidents.","tenantname:D0034 AND sev:4 AND (NOT evt:""HEAD method with 404 Not Found"") AND (NOT evt:ErtFeed) AND (NOT evt:""DNS Tunneling Communication"") AND (NOT evt:""Block Web Services Discovery from external computers"") AND (NOT evt:""Allow all applications"") AND (NOT evt:""Pattern Violation Detected"") AND (NOT evt:""Log files written to USB drives"") AND (NOT evt:Intrusions) AND (NOT evt:""Block UPnP Discovery from external computers"") AND (NOT evt:""Audit\\: P2P Torrent Traffic 5 attack blocked"") AND (NOT evt:""SSL Protocol Violation"") AND (NOT evt:""Possible CSRF attack detected in POST"") AND (NOT evt:""GET method with 404 Not Found"") AND (NOT evt:Anomaly) AND (NOT evt:""A LiveUpdate session encountered errors"") AND (NOT evt:""Unauthorized HTTP Method"") AND (NOT evt:""Internet Explorer Browser Intrusion Prevention disabled by policy"") AND (NOT evt:""GET method with 503 Service Unavailable"") AND (NOT evt:""Firefox Browser Intrusion Prevention disabled by policy"") AND (NOT evt:""Access denied due to malicious request"")"
Retrieves Palo Alto firewall logs for tenant D0034 while excluding a long list of routine or benign events so you can surface potentially unusual or security-relevant activity.,"tenantname:D0034 AND pname:""Palo Alto Next\\-Generation Firewall"" AND (NOT evt:""URL filtering log"") AND (NOT evt:""Session Ended"") AND (NOT evt:""Session Dropped"") AND (NOT evt:""Session Denied"") AND (NOT evt:""File type log"") AND (NOT evt:""url\\-cloud\\-connection\\-failure"") AND (NOT evt:""cloud\\-election"") AND (NOT evt:""Spyware detection"") AND (NOT evt:""Session Started"") AND (NOT evt:""Non\\-RFC Compliant SSL Traffic on Port 443\\(56112\\)"") AND (NOT evt:""Non\\-RFC Compliant HTTP Traffic on Port 80\\(56886\\)"") AND (NOT evt:""EDL\\(pablacklistdns\\) No"") AND (NOT evt:""EDL\\(pablacklistdns\\) EDL file was not updated at remote end"") AND (NOT evt:""EDL\\(pablacklist.txt\\) No"") AND (NOT evt:""EDL\\(pablacklist.txt\\) EDL file was not updated at remote end"") AND (NOT evt:""upgrade\\-url\\-database\\-success"") AND (NOT evt:""Connection to Update server"") AND (NOT evt:""Auto update"") AND (NOT evt:""Antivirus package"") AND (NOT evt:""Abnormal HTTP 1.0 Chunked Response Found\\(40568\\)"") AND (NOT evt:""WildFire update job succeeded"") AND (NOT evt:""WildFire job started processing"") AND (NOT evt:""WildFire job enqueued"") AND (NOT evt:""Installed WildFire package"") AND (NOT evt:""Content image transferred from peer"") AND (NOT evt:""user\\-group\\-count"") AND (NOT evt:""url\\-backup\\-seed\\-success"") AND (NOT evt:""WildFire version downloaded"") AND (NOT evt:""Request made to server ""app\\-registry\\-service.apps.paloaltonetworks.com"" is successful "") AND (NOT evt:""Non\\-RFC Compliant HTTP Traffic on Port 80\\(56383\\)"")"
Finds events for tenant D0034 that originate from the IP address 103.100.159.105., tenantname:D0034 && srcip: 103.100.159.105
It filters the logs to show only events belonging to the tenant named M000.,tenantname:M000`
It searches for logs where the event’s process name is Checkpoint Event (Syslog) and the tenant is D0034.,"pname:""Checkpoint Event \\(Syslog\\)"" AND tenantname:D0034"
"Looks for URL-filtering logs from the M0001 tenant on a Palo Alto firewall where the target domain is onlyfans.com, so you can see attempts to reach that site and how the firewall handled them.","tenantname:M0001 AND pname:""Palo Alto Next-Generation Firewall"" AND trgdomain:* AND evt:""URL filtering log"" AND trgdomain:* AND trgdomain:onlyfans.com"
"Identify tenant D0034 events where the Palo Alto firewall is linked to target domains with a blacklist score between 50 and 200, considering any source-to-target domain pairs, while excluding spyware detections and two specific domains.","tenantname:D0034 AND pname:""Palo Alto Next\\-Generation Firewall"" AND blsrc_trgdomain:* AND blscore_trgdomain:[50 TO 200] AND NOT evt:""Spyware detection"" AND NOT trgdomain:""xux\\-web\\-config.oss\\-accelerate.aliyuncs.com"" AND NOT trgdomain:page.dingtalk.com"
"Find outbound activity for tenant D0034 under policy 1, while excluding a long list of normal session lifecycle and common status messages to surface only non-routine or potentially suspicious events.","tenantname:D0034 AND taxoutpro:1 AND (NOT evt:""session start"") AND (NOT evt:""session end\, Ageout"") AND (NOT evt:""Session Ended"") AND (NOT evt:Accept) AND (NOT evt:""A security session was closed"") AND (NOT evt:""URL filtering log"") AND (NOT evt:""NAT trust to untrust"") AND (NOT evt:""GET method with 200 OK"") AND (NOT evt:""Connection event logged at end of connection"") AND (NOT evt:""A security session was created"") AND (NOT evt:""session end\, TCP RST"") AND (NOT evt:""session end\, Block"") AND (NOT evt:""Traffic forward message"") AND (NOT evt:""Forward traffic statistics"") AND (NOT evt:""File type log"")"
"It looks for Accept events or any events that aren’t the common session start/end, audit, traffic forward, or policy-denied messages, effectively filtering out those routine events to surface other activity.","NOT evt:""Session Ended"" AND NOT evt:""Audit event"" AND NOT evt:""Traffic forward message"" AND NOT evt:""policy deny"" AND NOT evt:""Session Started"" OR evt:Accept"
"Find logs for tenant D0034 where the tax-event fields aren't all populated (i.e., incomplete tax-event data), and exclude any entries from Huawei Firewall or from source IP 192.168.199.254.","tenantname:D0034 AND NOT (taxevtst:* AND taxevtobj:* AND taxevtcon:* AND taxevtact:* AND taxoutpro:* AND taxoutobj:* AND taxoutcon:*) AND NOT pname:""Huawei Firewall"" AND NOT couip:192.168.199.254"
"Identifies Symantec Endpoint Security Protection events in tenant D0034 that are not categorized as allowed outbound or inbound connections, not log writes to USB drives, and not severity 6.","tenantname:D0034 AND pname:""Symantec Endpoint Security Protection"" AND NOT evt:""Allowed Outbound connection"" AND NOT evt:""Allowed Inbound connection""  AND NOT evt:""Log files written to USB drives"" AND NOT sev:6"
"Looks for events in tenant D0034 involving Symantec Endpoint Security Protection that involve any source-to-target IP activity, excluding records where the target IP is 208.103.161.1.","tenantname:D0034 AND pname:""Symantec Endpoint Security Protection"" AND blsrc_trgip:* AND NOT trgip:208.103.161.1"
It finds logs where there is a non-empty process name and the tenant name is D0034.,pname:* AND tenantname:D0034
Finds logs for tenant D0034 from China where there is access to temporary files with a Bak suffix.,tenantname:D0034 AND srccountry:CHN AND evt:Bak后缀临时文件访问
Finds logs for tenant D0034 where the taxoutpro flag is set to 1 and the severity level is 3.,tenantname:D0034 && taxoutpro:1 && sev:3
"It finds outbound connections flagged as going to a blacklisted IP for tenant D0034, parsed by MAGI, specifically to 43.252.167.201, while excluding any connections to 57.129.64.107.","tenantname:D0034 AND parsertype:MAGI AND evt:""Outgoing Connection to a Blacklisted IP"" AND NOT trgip:57.129.64.107 AND trgip:43.252.167.201"
"Looks for logs in tenant D0034 from source IP 106.15.76.254, while excluding events flagged with taxevtst as nfw and excluding any records where the product name is Sangfor_CyberCommand.",tenantname:D0034 AND NOT taxevtst:nfw AND srcip:106.15.76.254 AND NOT pname:Sangfor_CyberCommand
Finds events where the Apache HTTP Server process is involved and the target domain is ebshkfg.com.,"pname:""Apache Http Server"" AND trgdomain:""ebshkfg.com"""
"Identify SQL-related events in tenant M0001 that involve Microsoft Active Directory and Windows, and match vector code 33205.","tenantname:M0001 AND pname:""Microsoft Active Directory and Windows"" AND vec:33205 AND evt:""sql"""
Returns events for tenant D0034 from the Juniper SRX Firewall tied to the IP address 10.168.168.71.,"tenantname:D0034 AND pname:""Juniper SRX Firewall"" AND couname:10.168.168.71"
"Identify events in tenant M0001 that are not standard Windows/AD logon events and not from known tools or listed hosts, so you surface potentially unusual or unknown activity.","tenantname:M0001 AND NOT (taxevtst:* AND taxevtobj:* AND taxevtcon:* AND taxevtact:* AND taxoutpro:* AND taxoutobj:* AND taxoutcon:*) AND NOT vec:4624 AND NOT pname:""Microsoft Active Directory and Windows"" AND NOT couname:10.1.32.232 AND NOT couname:10.1.32.231 AND NOT pname:""CrowdStrike EDR"" AND NOT pname:""vSphere vCenter"" AND NOT parsertype:MAGIPOST AND NOT couname:10.1.100.150 AND NOT parselogstatus:failed AND NOT couip:10.1.32.150 AND NOT couname:10.1.0.220 AND NOT couname:10.1.0.240"
"It looks for URL-filtering events on the Palo Alto firewall for tenant M0001 where the target domain is coinbase.com, while excluding hits to a set of other domains (including adult sites and certain non-relevant services) and any entries flagged as adult content.","tenantname:M0001 AND pname:""Palo Alto Next-Generation Firewall"" AND trgdomain:* AND evt:""URL filtering log"" AND trgdomain:* AND NOT trgdomain:onlyfans.com AND NOT trgdomain:backblazeb2.com AND NOT trgdomain:youporn.com AND NOT trgdomain:bcgame.li AND NOT obssvccpn:adult  AND NOT trgdomain:backblaze.com AND trgdomain:coinbase.com"
